State,Murder,Assault,UrbanPop,,,,,,,,,,,,
Vermont,2.2,48,32,,,,,,,Average of Assaults,,,,,
West Virginia,5.7,81,39,,Small (<50%),Vermont,2.2,48,32,174.75,,Small States (<50%),174.75,,
Mississippi,16.1,259,44,,,West Virginia,5.7,81,39,,,Medium(<60%),127.5555556,,
North Dakota,0.8,45,44,,,Mississippi,16.1,259,44,,,Large(<70%),150.0833333,,
North Carolina,13,337,45,,,North Dakota,0.8,45,44,,,X-Large(>70%),197.6190476,,
South Dakota,3.8,86,45,,,North Carolina,13,337,45,,,,,,
Alaska,10,263,48,,,South Dakota,3.8,86,45,,,,,,
South Carolina,14.4,279,48,,,Alaska,10,263,48,,,,,,
Arkansas,8.8,190,50,,,South Carolina,14.4,279,48,,,,,,
Maine,2.1,83,51,,Medium (<60%),Arkansas,8.8,190,50,127.5555556,,,,,
Kentucky,9.7,109,52,,,Maine,2.1,83,51,,,,,,
Montana,6,109,53,,,Kentucky,9.7,109,52,,,,,,
Idaho,2.6,120,54,,,Montana,6,109,53,,,,,,
New Hampshire,2.1,57,56,,,Idaho,2.6,120,54,,,,,,
Iowa,2.2,56,57,,,New Hampshire,2.1,57,56,,,,,,
Alabama,13.2,236,58,,,Iowa,2.2,56,57,,,,,,
Tennessee,13.2,188,59,,,Alabama,13.2,236,58,,,,,,
Georgia,17.4,170,60,,,Tennessee,13.2,188,59,,,,,,
Wyoming,6.8,161,60,,Large (<70%),Georgia,17.4,170,60,150.0833333,,,,,
Nebraska,4.3,102,62,,,Wyoming,6.8,161,60,,,,,,169.9387755
Virginia,8.5,156,63,,,Nebraska,4.3,102,62,,,,,,
Indiana,7.2,113,65,,,Virginia,8.5,156,63,,,,,,
Kansas,6,115,66,,,Indiana,7.2,113,65,,,,,,
Louisiana,15.4,249,66,,,Kansas,6,115,66,,,,,,
Minnesota,2.7,72,66,,,Louisiana,15.4,249,66,,,,,,
Wisconsin,2.6,53,66,,,Minnesota,2.7,72,66,,,,,,
Maryland,11.3,300,67,,,Wisconsin,2.6,53,66,,,,,,
Oregon,4.9,159,67,,,Maryland,11.3,300,67,,,,,,
Oklahoma,6.6,151,68,,,Oregon,4.9,159,67,,,,,,
Missouri,9,178,70,,,Oklahoma,6.6,151,68,,,,,,
New Mexico,11.4,285,70,,X-Large (>=70%),Missouri,9,178,70,197.6190476,,,,,
Delaware,5.9,238,72,,,New Mexico,11.4,285,70,,,,,,
Pennsylvania,6.3,106,72,,,Delaware,5.9,238,72,,,,,,
Washington,4,145,73,,,Pennsylvania,6.3,106,72,,,,,,
Michigan,12.1,255,74,,,Washington,4,145,73,,,,,,
Ohio,7.3,120,75,,,Michigan,12.1,255,74,,,,,,
Connecticut,3.3,110,77,,,Ohio,7.3,120,75,,,,,,
Colorado,7.9,204,78,,,Connecticut,3.3,110,77,,,,,,
Arizona,8.1,294,80,,,Colorado,7.9,204,78,,,,,,
Florida,15.4,335,80,,,Arizona,8.1,294,80,,,,,,
Texas,12.7,201,80,,,Florida,15.4,335,80,,,,,,
Utah,3.2,120,80,,,Texas,12.7,201,80,,,,,,
Nevada,12.2,252,81,,,Utah,3.2,120,80,,,,,,
Hawaii,5.3,46,83,,,Nevada,12.2,252,81,,,,,,
Illinois,10.4,249,83,,,Hawaii,5.3,46,83,,,,,,
Massachusetts,4.4,149,85,,,Illinois,10.4,249,83,,,,,,
New York,11.1,254,86,,,Massachusetts,4.4,149,85,,,,,,
Rhode Island,3.4,174,87,,,New York,11.1,254,86,,,,,,
New Jersey,7.4,159,89,,,Rhode Island,3.4,174,87,,,,,,
California,9,276,91,,,New Jersey,7.4,159,89,,,,,,
,,,,,,California,9,276,91,,,,,,
